id,document_filename,description,type,file_link,channel_name
msg_iteration.0.user.vk_baza_audio.post.18513,Guseyn_Gasanov_motivatsiya_Гусейн.mp3,"NO 

🗂️ Manba: @URGUT_KUTUBXONA_KITOBLAR_BAZASI kanali",audio,https://t.me/vk_baza_audio/18513,@URGUT_KUTUBXONA_KITOBLAR_BAZASI
msg_iteration.1.user.vk_baza_audio.post.18512,Миллионер болишнинг 21 сир3.m4a,"📚  📚

 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18512,@kutubxona7
msg_iteration.2.user.vk_baza_audio.post.18511,Миллионер болишнинг 21 сири4.m4a,"📚  📚

 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18511,@kutubxona7
msg_iteration.3.user.vk_baza_audio.post.18510,Миллионер болишнинг 21 сири5.m4a,"📚  📚

 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18510,@kutubxona7
msg_iteration.4.user.vk_baza_audio.post.18509,Одна привычка в  неделю.mp3,"📚  📚

 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18509,@kutubxona7
msg_iteration.5.user.vk_baza_audio.post.18508,Motivation_uz.mp3,"📚  📚

 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18508,@kutubxona7
msg_iteration.6.user.vk_baza_audio.post.18507,Принципы_Рэй Далио.mp3,"📚  📚

 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18507,@kutubxona7
msg_iteration.7.user.vk_baza_audio.post.18506,Принципы-Рэй Далио.mp3,"📚  📚

 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18506,@kutubxona7
msg_iteration.8.user.vk_baza_audio.post.18505,01. Shaytanat @audibleuzb.mp3,"NO 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18505,@kutubxona7
msg_iteration.9.user.vk_baza_audio.post.18504,02. Shaytanat @audibleuzb.mp3,"NO 

🗂️ Manba: @kutubxona7 kanali",audio,https://t.me/vk_baza_audio/18504,@kutubxona7
